cycle,e_sweep,e_obs,attr_std,trans_std,e_alt,attr_r1,r1_disagree,trans_r1,pop_xor,attr_r2,r2_disagree,trans_r2,e_lag,attr_r3,r3_disagree,trans_r3,e_r4,attr_r4,r4_disagree,trans_r4,rot_k,epoch_mask
973,14,13,4,0,49,4,0,1,8,4,0,0,12,4,0,0,57,2,1,0,11,3741
974,15,14,4,0,62,2,1,1,8,4,0,0,13,4,0,0,25,4,0,1,11,3741
975,16,15,4,0,57,2,1,0,7,4,0,0,14,4,0,0,54,2,1,1,1,6772
976,17,16,4,0,8,4,0,1,3,4,0,0,15,4,0,0,9,4,0,1,1,6772
977,18,17,4,0,13,4,0,0,7,4,0,0,16,4,0,0,11,4,0,0,1,6772
978,19,18,4,0,3,4,0,0,7,4,0,0,17,4,0,0,12,4,0,0,1,6772
979,20,20,4,0,26,4,0,0,6,4,0,0,18,4,0,0,1,4,0,0,1,6772
980,21,20,4,0,25,4,0,0,8,4,0,0,20,4,0,0,0,1,1,1,1,6772
981,22,21,4,0,29,4,0,0,6,4,0,0,20,4,0,0,2,4,0,1,1,6772
982,23,22,4,0,18,4,0,0,9,4,0,0,21,4,0,0,5,4,0,0,1,6772
983,24,23,4,0,20,4,0,0,5,4,0,0,22,4,0,0,6,4,0,0,1,6772
984,25,24,4,0,45,4,0,0,6,4,0,0,23,4,0,0,25,4,0,0,1,6772
985,26,25,4,0,42,4,0,0,8,4,0,0,24,4,0,0,26,4,0,0,1,6772
986,27,26,4,0,37,4,0,0,9,4,0,0,25,4,0,0,29,4,0,0,1,6772
987,28,27,4,0,33,4,0,0,7,4,0,0,26,4,0,0,31,4,0,0,1,6772
988,29,28,4,0,63,3,1,1,6,4,0,0,27,4,0,0,17,4,0,0,1,6772
989,30,29,4,0,59,2,1,1,8,4,0,0,28,4,0,0,19,4,0,0,1,6772
990,31,30,4,0,53,2,1,0,8,4,0,0,29,4,0,0,20,4,0,0,1,6772
991,32,31,4,0,51,2,1,0,5,4,0,0,30,4,0,0,20,4,0,0,4,2515
992,33,32,4,0,17,4,0,1,3,4,0,0,31,4,0,0,35,4,0,0,4,2515
993,34,33,4,0,21,4,0,0,6,4,0,0,32,4,0,0,48,4,0,0,4,2515
994,35,34,4,0,26,4,0,0,5,4,0,0,33,4,0,0,11,4,0,0,4,2515
995,36,35,4,0,28,4,0,0,8,4,0,0,34,4,0,0,16,4,0,0,4,2515
996,37,36,4,0,1,4,0,0,4,4,0,0,35,4,0,0,43,4,0,0,4,2515
997,38,37,4,0,7,4,0,0,8,4,0,0,36,4,0,0,49,4,0,0,4,2515
998,39,38,4,0,9,4,0,0,8,4,0,0,37,4,0,0,13,4,0,0,4,2515
999,40,39,4,0,15,4,0,0,4,4,0,0,38,4,0,0,21,4,0,0,4,2515
1000,41,40,4,0,52,2,1,1,7,4,0,0,39,4,0,0,36,4,0,0,4,2515
1001,42,41,4,0,49,4,0,1,10,4,0,0,40,4,0,0,50,2,1,1,4,2515
1002,43,42,4,0,63,3,1,1,4,4,0,0,41,4,0,0,14,4,0,1,4,2515
1003,44,44,4,0,38,4,0,1,4,4,0,0,42,4,0,0,39,4,0,0,4,2515
1004,45,45,4,0,34,4,0,0,4,4,0,0,44,4,0,0,55,2,1,1,4,2515
1005,46,45,4,0,33,4,0,0,5,4,0,0,45,4,0,0,56,2,1,0,4,2515
1006,47,46,4,0,44,4,0,0,10,4,0,0,45,4,0,0,11,4,0,1,4,2515
1007,48,47,4,0,42,4,0,0,4,4,0,0,46,4,0,0,41,4,0,0,7,1870
1008,49,48,4,0,26,4,0,0,4,4,0,0,47,4,0,0,5,4,0,0,7,1870
1009,50,49,4,0,29,4,0,0,5,4,0,0,48,4,0,0,61,2,1,1,7,1870
1010,51,50,2,1,16,4,1,0,7,4,1,0,49,4,1,0,47,4,1,1,7,1870
1011,52,51,2,0,23,4,1,0,11,4,1,0,50,2,0,1,9,4,1,0,7,1870
1012,53,52,2,0,10,4,1,0,7,4,1,0,51,2,0,0,7,4,1,0,7,1870
1013,54,53,2,0,15,4,1,0,4,4,1,0,52,2,0,0,57,2,0,1,7,1870
1014,55,54,2,0,2,4,1,0,8,4,1,0,53,2,0,0,37,4,1,1,7,1870
1015,56,55,2,0,4,4,1,0,5,4,1,0,54,2,0,0,61,2,0,1,7,1870
1016,57,56,2,0,61,2,0,1,5,4,1,0,55,2,0,0,45,4,1,1,7,1870
1017,58,57,2,0,58,2,0,0,7,4,1,0,56,2,0,0,15,4,1,0,7,1870
1018,59,58,2,0,53,2,0,0,8,4,1,0,57,2,0,0,9,4,1,0,7,1870
1019,60,59,2,0,49,4,1,1,8,4,1,0,58,2,0,0,5,4,1,0,7,1870
1020,61,60,2,0,47,4,1,0,9,4,1,0,59,2,0,0,63,3,1,1,7,1870
1021,62,61,2,0,43,4,1,0,9,4,1,0,60,2,0,0,43,4,1,1,7,1870
1022,63,62,2,0,37,4,1,0,9,4,1,0,61,2,0,0,3,4,1,0,7,1870
1023,0,63,3,1,34,4,1,0,9,4,1,0,62,2,1,0,19,4,1,0,10,7482
1024,1,0,1,1,2,4,1,0,0,1,0,1,63,3,1,1,36,4,1,0,10,7482
1025,2,2,4,1,9,4,0,0,4,4,0,1,0,1,1,1,36,4,0,0,10,7482
1026,3,2,4,0,10,4,0,0,6,4,0,0,2,4,0,1,20,4,0,0,10,7482
1027,4,3,4,0,14,4,0,0,5,4,0,0,2,4,0,0,52,2,1,1,10,7482
1028,5,4,4,0,16,4,0,0,4,4,0,0,3,4,0,0,52,2,1,0,10,7482
1029,6,5,4,0,21,4,0,0,4,4,0,0,4,4,0,0,52,2,1,0,10,7482
1030,7,6,4,0,25,4,0,0,5,4,0,0,5,4,0,0,36,4,0,1,10,7482
1031,8,7,4,0,31,4,0,0,6,4,0,0,6,4,0,0,20,4,0,0,10,7482
1032,9,8,4,0,36,4,0,0,7,4,0,0,7,4,0,0,37,4,0,0,10,7482
1033,10,9,4,0,33,4,0,0,5,4,0,0,8,4,0,0,5,4,0,0,10,7482
1034,11,10,4,0,44,4,0,0,11,4,0,0,9,4,0,0,21,4,0,0,10,7482
1035,12,11,4,0,42,4,0,0,5,4,0,0,10,4,0,0,37,4,0,0,10,7482
1036,13,12,4,0,52,2,1,1,7,4,0,0,11,4,0,0,5,4,0,0,10,7482
1037,14,13,4,0,49,4,0,1,7,4,0,0,12,4,0,0,21,4,0,0,10,7482
1038,15,14,4,0,60,2,1,1,8,4,0,0,13,4,0,0,37,4,0,0,10,7482
1039,16,15,4,0,57,2,1,0,6,4,0,0,14,4,0,0,28,4,0,0,0,5353
1040,17,16,4,0,11,4,0,1,5,4,0,0,15,4,0,0,3,4,0,0,0,5353
1041,18,17,4,0,15,4,0,0,6,4,0,0,16,4,0,0,2,4,0,0,0,5353
1042,19,18,4,0,3,4,0,0,5,4,0,0,17,4,0,0,1,4,0,0,0,5353
1043,20,20,4,0,26,4,0,0,8,4,0,0,18,4,0,0,7,4,0,0,0,5353
1044,21,20,4,0,25,4,0,0,6,4,0,0,20,4,0,0,7,4,0,0,0,5353
1045,22,21,4,0,28,4,0,0,5,4,0,0,20,4,0,0,6,4,0,0,0,5353
1046,23,22,4,0,19,4,0,0,6,4,0,0,21,4,0,0,5,4,0,0,0,5353
1047,24,23,4,0,23,4,0,0,6,4,0,0,22,4,0,0,4,4,0,0,0,5353
1048,25,24,4,0,45,4,0,0,9,4,0,0,23,4,0,0,11,4,0,0,0,5353
1049,26,25,4,0,41,4,0,0,8,4,0,0,24,4,0,0,10,4,0,0,0,5353
1050,27,26,4,0,39,4,0,0,8,4,0,0,25,4,0,0,9,4,0,0,0,5353
1051,28,27,4,0,33,4,0,0,5,4,0,0,26,4,0,0,8,4,0,0,0,5353
1052,29,28,4,0,62,2,1,1,6,4,0,0,27,4,0,0,15,4,0,0,0,5353
1053,30,29,4,0,58,2,1,0,9,4,0,0,28,4,0,0,14,4,0,0,0,5353
1054,31,30,4,0,54,2,1,0,8,4,0,0,29,4,0,0,13,4,0,0,0,5353
1055,32,31,4,0,49,4,0,1,8,4,0,0,30,4,0,0,50,2,1,1,3,5031
1056,33,32,4,0,19,4,0,0,6,4,0,0,31,4,0,0,9,4,0,1,3,5031
1057,34,33,4,0,22,4,0,0,4,4,0,0,32,4,0,0,3,4,0,0,3,5031
1058,35,34,4,0,24,4,0,0,5,4,0,0,33,4,0,0,28,4,0,0,3,5031
1059,36,35,4,0,28,4,0,0,5,4,0,0,34,4,0,0,21,4,0,0,3,5031
1060,37,36,4,0,0,1,1,1,5,4,0,0,35,4,0,0,43,4,0,0,3,5031
1061,38,37,4,0,7,4,0,1,7,4,0,0,36,4,0,0,36,4,0,0,3,5031
1062,39,38,4,0,9,4,0,0,8,4,0,0,37,4,0,0,58,2,1,1,3,5031
1063,40,39,4,0,12,4,0,0,3,4,0,0,38,4,0,0,49,4,0,1,3,5031
1064,41,40,4,0,55,2,1,1,6,4,0,0,39,4,0,0,8,4,0,0,3,5031
1065,42,41,4,0,50,2,1,0,8,4,0,0,40,4,0,0,2,4,0,0,3,5031
1066,43,43,4,0,57,2,1,0,7,4,0,0,41,4,0,0,22,4,0,0,3,5031
1067,44,44,4,0,38,4,0,1,5,4,0,0,43,4,0,0,46,4,0,0,3,5031
1068,45,44,4,0,37,4,0,0,7,4,0,0,44,4,0,0,41,4,0,0,3,5031
1069,46,45,4,0,32,4,0,0,6,4,0,0,44,4,0,0,35,4,0,0,3,5031
1070,47,46,4,0,46,4,0,0,7,4,0,0,45,4,0,0,60,2,1,1,3,5031
1071,48,47,4,0,42,4,0,0,9,4,0,0,46,4,0,0,32,4,0,1,6,3741
1072,49,48,4,0,26,4,0,0,7,4,0,0,47,4,0,0,23,4,0,0,6,3741
1073,50,49,4,0,29,4,0,0,10,4,0,0,48,4,0,0,40,4,0,0,6,3741
1074,51,50,2,1,16,4,1,0,6,4,1,0,49,4,1,0,39,4,1,0,6,3741
1075,52,51,2,0,22,4,1,0,9,4,1,0,50,2,0,1,8,4,1,0,6,3741
1076,53,52,2,0,11,4,1,0,7,4,1,0,51,2,0,0,38,4,1,0,6,3741
1077,54,53,2,0,13,4,1,0,5,4,1,0,52,2,0,0,11,4,1,0,6,3741
1078,55,54,2,0,2,4,1,0,8,4,1,0,53,2,0,0,33,4,1,0,6,3741
1079,56,55,2,0,5,4,1,0,7,4,1,0,54,2,0,0,21,4,1,0,6,3741
1080,57,56,2,0,61,2,0,1,9,4,1,0,55,2,0,0,44,4,1,0,6,3741
1081,58,57,2,0,58,2,0,0,6,4,1,0,56,2,0,0,30,4,1,0,6,3741
1082,59,59,2,0,49,4,1,1,6,4,1,0,57,2,0,0,58,2,0,1,6,3741
1083,60,59,2,0,50,2,0,1,8,4,1,0,59,2,0,0,3,4,1,1,6,3741
1084,61,60,2,0,44,4,1,1,9,4,1,0,59,2,0,0,17,4,1,0,6,3741
1085,62,61,2,0,42,4,1,0,6,4,1,0,60,2,0,0,52,2,0,1,6,3741
1086,63,62,2,0,38,4,1,0,6,4,1,0,61,2,0,0,46,4,1,1,6,3741
1087,0,63,3,1,33,4,1,0,8,4,1,0,62,2,1,0,34,4,1,0,9,6772
1088,1,0,1,1,3,4,1,0,0,1,0,1,63,3,1,1,49,4,1,0,9,6772
1089,2,1,4,1,6,4,0,0,4,4,0,1,0,1,1,1,17,4,0,0,9,6772
1090,3,2,4,0,8,4,0,0,6,4,0,0,1,4,0,1,17,4,0,0,9,6772
1091,4,3,4,0,15,4,0,0,4,4,0,0,2,4,0,0,25,4,0,0,9,6772
1092,5,5,4,0,22,4,0,0,5,4,0,0,3,4,0,0,57,2,1,1,9,6772
1093,6,6,4,0,27,4,0,0,6,4,0,0,5,4,0,0,41,4,0,1,9,6772
1094,7,6,4,0,24,4,0,0,6,4,0,0,6,4,0,0,41,4,0,0,9,6772
1095,8,7,4,0,29,4,0,0,5,4,0,0,6,4,0,0,41,4,0,0,9,6772
1096,9,8,4,0,36,4,0,0,6,4,0,0,7,4,0,0,33,4,0,0,9,6772
1097,10,9,4,0,32,4,0,0,7,4,0,0,8,4,0,0,57,2,1,1,9,6772
1098,11,10,4,0,45,4,0,0,7,4,0,0,9,4,0,0,9,4,0,1,9,6772
1099,12,11,4,0,40,4,0,0,5,4,0,0,10,4,0,0,41,4,0,0,9,6772
1100,13,12,4,0,55,2,1,1,5,4,0,0,11,4,0,0,33,4,0,0,9,6772
1101,14,13,4,0,48,4,0,1,10,4,0,0,12,4,0,0,49,4,0,0,9,6772
1102,15,14,4,0,63,3,1,1,8,4,0,0,13,4,0,0,25,4,0,0,9,6772
1103,16,15,4,0,58,2,1,1,6,4,0,0,14,4,0,0,32,4,0,0,12,2515
1104,17,16,4,0,10,4,0,1,4,4,0,0,15,4,0,0,47,4,0,0,12,2515
1105,18,17,4,0,15,4,0,0,6,4,0,0,16,4,0,0,47,4,0,0,12,2515
1106,19,18,4,0,2,4,0,0,5,4,0,0,17,4,0,0,46,4,0,0,12,2515
1107,20,19,4,0,4,4,0,0,8,4,0,0,18,4,0,0,46,4,0,0,12,2515
1108,21,20,4,0,25,4,0,0,5,4,0,0,19,4,0,0,45,4,0,0,12,2515
1109,22,21,4,0,28,4,0,0,7,4,0,0,20,4,0,0,45,4,0,0,12,2515
1110,23,23,4,0,23,4,0,0,8,4,0,0,21,4,0,0,44,4,0,0,12,2515
1111,24,23,4,0,20,4,0,0,6,4,0,0,23,4,0,0,44,4,0,0,12,2515
1112,25,24,4,0,47,4,0,0,7,4,0,0,23,4,0,0,43,4,0,0,12,2515
1113,26,25,4,0,42,4,0,0,6,4,0,0,24,4,0,0,43,4,0,0,12,2515
1114,27,27,4,0,33,4,0,0,7,4,0,0,25,4,0,0,42,4,0,0,12,2515
1115,28,27,4,0,34,4,0,0,8,4,0,0,27,4,0,0,42,4,0,0,12,2515
1116,29,28,4,0,61,2,1,1,5,4,0,0,27,4,0,0,41,4,0,0,12,2515
1117,30,29,4,0,56,2,1,0,7,4,0,0,28,4,0,0,41,4,0,0,12,2515
1118,31,31,4,0,51,2,1,0,7,4,0,0,29,4,0,0,40,4,0,0,12,2515
1119,32,32,4,0,16,4,0,1,7,4,0,0,31,4,0,0,29,4,0,0,2,1870
1120,33,33,4,0,20,4,0,0,7,4,0,0,32,4,0,0,25,4,0,0,2,1870
1121,34,33,4,0,23,4,0,0,7,4,0,0,33,4,0,0,26,4,0,0,2,1870
1122,35,34,4,0,26,4,0,0,7,4,0,0,33,4,0,0,22,4,0,0,2,1870
1123,36,35,4,0,31,4,0,0,4,4,0,0,34,4,0,0,19,4,0,0,2,1870
1124,37,37,4,0,6,4,0,0,4,4,0,0,35,4,0,0,9,4,0,0,2,1870
1125,38,38,4,0,11,4,0,0,8,4,0,0,37,4,0,0,5,4,0,0,2,1870
1126,39,39,4,0,15,4,0,0,6,4,0,0,38,4,0,0,1,4,0,0,2,1870
1127,40,40,4,0,52,2,1,1,2,4,0,0,39,4,0,0,61,2,1,1,2,1870
1128,41,41,4,0,48,4,0,1,10,4,0,0,40,4,0,0,57,2,1,0,2,1870
1129,42,42,4,0,61,2,1,1,8,4,0,0,41,4,0,0,53,2,1,0,2,1870
1130,43,42,4,0,62,2,1,0,6,4,0,0,42,4,0,0,54,2,1,0,2,1870
1131,44,43,4,0,58,2,1,0,8,4,0,0,42,4,0,0,50,2,1,0,2,1870
1132,45,44,4,0,36,4,0,1,8,4,0,0,43,4,0,0,47,4,0,1,2,1870
1133,46,45,4,0,33,4,0,0,2,4,0,0,44,4,0,0,42,4,0,0,2,1870
1134,47,46,4,0,44,4,0,0,7,4,0,0,45,4,0,0,38,4,0,0,2,1870
1135,48,47,4,0,41,4,0,0,6,4,0,0,46,4,0,0,5,4,0,0,5,7482
1136,49,48,4,0,27,4,0,0,3,4,0,0,47,4,0,0,42,4,0,0,5,7482
1137,50,49,4,0,31,4,0,0,10,4,0,0,48,4,0,0,12,4,0,0,5,7482
1138,51,50,2,1,16,4,1,0,8,4,1,0,49,4,1,0,56,2,0,1,5,7482
1139,52,51,2,0,23,4,1,0,8,4,1,0,50,2,0,1,1,4,1,1,5,7482
1140,53,52,2,0,10,4,1,0,6,4,1,0,51,2,0,0,50,2,0,1,5,7482
1141,54,53,2,0,15,4,1,0,7,4,1,0,52,2,0,0,29,4,1,1,5,7482
1142,55,54,2,0,2,4,1,0,7,4,1,0,53,2,0,0,58,2,0,1,5,7482
1143,56,55,2,0,4,4,1,0,8,4,1,0,54,2,0,0,12,4,1,1,5,7482
1144,57,56,2,0,61,2,0,1,8,4,1,0,55,2,0,0,56,2,0,1,5,7482
1145,58,57,2,0,58,2,0,0,8,4,1,0,56,2,0,0,0,1,1,1,5,7482
1146,59,58,2,0,53,2,0,0,7,4,1,0,57,2,0,0,48,4,1,1,5,7482
1147,60,59,2,0,49,4,1,1,4,4,1,0,58,2,0,0,17,4,1,0,5,7482
1148,61,60,2,0,46,4,1,0,9,4,1,0,59,2,0,0,50,2,0,1,5,7482
1149,62,61,2,0,43,4,1,0,5,4,1,0,60,2,0,0,28,4,1,1,5,7482
1150,63,62,2,0,38,4,1,0,10,4,1,0,61,2,0,0,57,2,0,1,5,7482
1151,0,63,3,1,33,4,1,0,10,4,1,0,62,2,1,0,42,4,1,1,8,5353
1152,1,0,1,1,1,4,1,0,0,1,0,1,63,3,1,1,7,4,1,0,8,5353
1153,2,1,4,1,6,4,0,0,4,4,0,1,0,1,1,1,31,4,0,0,8,5353
1154,3,2,4,0,10,4,0,0,3,4,0,0,1,4,0,1,43,4,0,0,8,5353
1155,4,3,4,0,14,4,0,0,7,4,0,0,2,4,0,0,3,4,0,0,8,5353
1156,5,4,4,0,16,4,0,0,5,4,0,0,3,4,0,0,23,4,0,0,8,5353
1157,6,5,4,0,21,4,0,0,8,4,0,0,4,4,0,0,63,3,1,1,8,5353
1158,7,6,4,0,25,4,0,0,8,4,0,0,5,4,0,0,43,4,0,1,8,5353
1159,8,7,4,0,30,4,0,0,6,4,0,0,6,4,0,0,7,4,0,0,8,5353
1160,9,8,4,0,38,4,0,0,4,4,0,0,7,4,0,0,27,4,0,0,8,5353
1161,10,9,4,0,35,4,0,0,7,4,0,0,8,4,0,0,39,4,0,0,8,5353
1162,11,10,4,0,46,4,0,0,5,4,0,0,9,4,0,0,27,4,0,0,8,5353
1163,12,11,4,0,40,4,0,0,5,4,0,0,10,4,0,0,39,4,0,0,8,5353
1164,13,12,4,0,53,2,1,1,8,4,0,0,11,4,0,0,27,4,0,0,8,5353
1165,14,13,4,0,51,2,1,0,7,4,0,0,12,4,0,0,35,4,0,0,8,5353
1166,15,14,4,0,60,2,1,0,8,4,0,0,13,4,0,0,23,4,0,0,8,5353
1167,16,15,4,0,58,2,1,0,5,4,0,0,14,4,0,0,13,4,0,0,11,5031
1168,17,16,4,0,10,4,0,1,2,4,0,0,15,4,0,0,10,4,0,0,11,5031
1169,18,17,4,0,13,4,0,0,7,4,0,0,16,4,0,0,10,4,0,0,11,5031
1170,19,18,4,0,0,1,1,1,6,4,0,0,17,4,0,0,42,4,0,0,11,5031
1171,20,19,4,0,7,4,0,1,9,4,0,0,18,4,0,0,42,4,0,0,11,5031
1172,21,20,4,0,26,4,0,0,4,4,0,0,19,4,0,0,43,4,0,0,11,5031
1173,22,21,4,0,31,4,0,0,7,4,0,0,20,4,0,0,11,4,0,0,11,5031
1174,23,22,4,0,17,4,0,0,8,4,0,0,21,4,0,0,11,4,0,0,11,5031
1175,24,24,4,0,44,4,0,0,7,4,0,0,22,4,0,0,8,4,0,0,11,5031
1176,25,24,4,0,47,4,0,0,7,4,0,0,24,4,0,0,40,4,0,0,11,5031
1177,26,25,4,0,42,4,0,0,7,4,0,0,24,4,0,0,40,4,0,0,11,5031
1178,27,26,4,0,37,4,0,0,7,4,0,0,25,4,0,0,8,4,0,0,11,5031
1179,28,27,4,0,32,4,0,0,5,4,0,0,26,4,0,0,8,4,0,0,11,5031
1180,29,28,4,0,60,2,1,1,7,4,0,0,27,4,0,0,41,4,0,0,11,5031
1181,30,29,4,0,57,2,1,0,4,4,0,0,28,4,0,0,41,4,0,0,11,5031
1182,31,30,4,0,53,2,1,0,9,4,0,0,29,4,0,0,9,4,0,0,11,5031
1183,32,31,4,0,50,2,1,0,7,4,0,0,30,4,0,0,4,4,0,0,1,3741
1184,33,32,4,0,18,4,0,1,7,4,0,0,31,4,0,0,59,2,1,1,1,3741
1185,34,33,4,0,23,4,0,0,7,4,0,0,32,4,0,0,57,2,1,0,1,3741
1186,35,34,4,0,27,4,0,0,6,4,0,0,33,4,0,0,63,3,1,1,1,3741
1187,36,35,4,0,29,4,0,0,5,4,0,0,34,4,0,0,60,2,1,1,1,3741
1188,37,36,4,0,2,4,0,0,5,4,0,0,35,4,0,0,50,2,1,0,1,3741
1189,38,37,4,0,6,4,0,0,9,4,0,0,36,4,0,0,48,4,0,1,1,3741
1190,39,38,4,0,11,4,0,0,7,4,0,0,37,4,0,0,54,2,1,1,1,3741
1191,40,39,4,0,15,4,0,0,3,4,0,0,38,4,0,0,52,2,1,0,1,3741
1192,41,40,4,0,53,2,1,1,6,4,0,0,39,4,0,0,42,4,0,1,1,3741
1193,42,41,4,0,49,4,0,1,6,4,0,0,40,4,0,0,40,4,0,0,1,3741
1194,43,42,4,0,63,3,1,1,7,4,0,0,41,4,0,0,47,4,0,0,1,3741
1195,44,43,4,0,57,2,1,1,5,4,0,0,42,4,0,0,44,4,0,0,1,3741
1196,45,44,4,0,38,4,0,1,8,4,0,0,43,4,0,0,34,4,0,0,1,3741
1197,46,45,4,0,34,4,0,0,5,4,0,0,44,4,0,0,32,4,0,0,1,3741
1198,47,46,4,0,46,4,0,0,9,4,0,0,45,4,0,0,38,4,0,0,1,3741
1199,48,47,4,0,41,4,0,0,10,4,0,0,46,4,0,0,16,4,0,0,4,6772
1200,49,49,4,0,28,4,0,0,3,4,0,0,47,4,0,0,57,2,1,1,4,6772
1201,50,49,4,0,31,4,0,0,6,4,0,0,49,4,0,0,55,2,1,0,4,6772
1202,51,50,2,1,19,4,1,0,6,4,1,0,49,4,1,0,2,4,1,1,4,6772
1203,52,51,2,0,20,4,1,0,5,4,1,0,50,2,0,1,29,4,1,0,4,6772
1204,53,52,2,0,11,4,1,0,8,4,1,0,51,2,0,0,46,4,1,0,4,6772
1205,54,53,2,0,13,4,1,0,5,4,1,0,52,2,0,0,52,2,0,1,4,6772
1206,55,54,2,0,1,4,1,0,7,4,1,0,53,2,0,0,1,4,1,1,4,6772
1207,56,55,2,0,4,4,1,0,8,4,1,0,54,2,0,0,22,4,1,0,4,6772
1208,57,56,2,0,63,3,1,1,4,4,1,0,55,2,0,0,36,4,1,0,4,6772
1209,58,57,2,0,58,2,0,1,6,4,1,0,56,2,0,0,48,4,1,0,4,6772
1210,59,59,2,0,49,4,1,1,6,4,1,0,57,2,0,0,25,4,1,0,4,6772
1211,60,59,2,0,50,2,0,1,4,4,1,0,59,2,0,0,23,4,1,0,4,6772
1212,61,60,2,0,44,4,1,1,8,4,1,0,59,2,0,0,35,4,1,0,4,6772
1213,62,61,2,0,42,4,1,0,6,4,1,0,60,2,0,0,58,2,0,1,4,6772
1214,63,62,2,0,38,4,1,0,11,4,1,0,61,2,0,0,12,4,1,1,4,6772
1215,0,63,3,1,33,4,1,0,9,4,1,0,62,2,1,0,45,4,1,0,7,2515
1216,1,1,4,1,4,4,0,0,0,1,1,1,63,3,1,1,37,4,0,0,7,2515
1217,2,1,4,0,7,4,0,0,3,4,0,1,1,4,0,1,31,4,0,0,7,2515
1218,3,2,4,0,10,4,0,0,8,4,0,0,1,4,0,0,5,4,0,0,7,2515
1219,4,3,4,0,12,4,0,0,4,4,0,0,2,4,0,0,17,4,0,0,7,2515
1220,5,4,4,0,16,4,0,0,5,4,0,0,3,4,0,0,59,2,1,1,7,2515
1221,6,5,4,0,23,4,0,0,8,4,0,0,4,4,0,0,15,4,0,1,7,2515
1222,7,6,4,0,25,4,0,0,8,4,0,0,5,4,0,0,39,4,0,0,7,2515
1223,8,7,4,0,28,4,0,0,7,4,0,0,6,4,0,0,23,4,0,0,7,2515
1224,9,8,4,0,38,4,0,0,5,4,0,0,7,4,0,0,55,2,1,1,7,2515
1225,10,9,4,0,32,4,0,0,8,4,0,0,8,4,0,0,55,2,1,0,7,2515
1226,11,10,4,0,45,4,0,0,8,4,0,0,9,4,0,0,53,2,1,0,7,2515
1227,12,11,4,0,41,4,0,0,6,4,0,0,10,4,0,0,51,2,1,0,7,2515
1228,13,12,4,0,54,2,1,1,8,4,0,0,11,4,0,0,63,3,1,1,7,2515
1229,14,13,4,0,51,2,1,0,8,4,0,0,12,4,0,0,5,4,0,1,7,2515
1230,15,14,4,0,62,2,1,0,8,4,0,0,13,4,0,0,17,4,0,0,7,2515
1231,16,15,4,0,57,2,1,0,6,4,0,0,14,4,0,0,60,2,1,1,10,1870
1232,17,16,4,0,9,4,0,1,3,4,0,0,15,4,0,0,31,4,0,1,10,1870
1233,18,17,4,0,14,4,0,0,5,4,0,0,16,4,0,0,15,4,0,0,10,1870
1234,19,18,4,0,2,4,0,0,6,4,0,0,17,4,0,0,47,4,0,0,10,1870
1235,20,19,4,0,7,4,0,0,6,4,0,0,18,4,0,0,47,4,0,0,10,1870
1236,21,20,4,0,27,4,0,0,7,4,0,0,19,4,0,0,63,3,1,1,10,1870
1237,22,21,4,0,28,4,0,0,7,4,0,0,20,4,0,0,15,4,0,1,10,1870
1238,23,23,4,0,23,4,0,0,7,4,0,0,21,4,0,0,15,4,0,0,10,1870
1239,24,23,4,0,20,4,0,0,7,4,0,0,23,4,0,0,15,4,0,0,10,1870
1240,25,24,4,0,47,4,0,0,4,4,0,0,23,4,0,0,62,2,1,1,10,1870
1241,26,25,4,0,41,4,0,0,7,4,0,0,24,4,0,0,14,4,0,1,10,1870
1242,27,26,4,0,38,4,0,0,8,4,0,0,25,4,0,0,62,2,1,1,10,1870
1243,28,27,4,0,32,4,0,0,6,4,0,0,26,4,0,0,30,4,0,1,10,1870
1244,29,28,4,0,61,2,1,1,5,4,0,0,27,4,0,0,30,4,0,0,10,1870
1245,30,29,4,0,59,2,1,0,6,4,0,0,28,4,0,0,30,4,0,0,10,1870
1246,31,30,4,0,53,2,1,0,9,4,0,0,29,4,0,0,14,4,0,0,10,1870
1247,32,31,4,0,51,2,1,0,8,4,0,0,30,4,0,0,43,4,0,0,0,7482
1248,33,32,4,0,16,4,0,1,2,4,0,0,31,4,0,0,20,4,0,0,0,7482
1249,34,33,4,0,21,4,0,0,5,4,0,0,32,4,0,0,21,4,0,0,0,7482
1250,35,34,4,0,24,4,0,0,7,4,0,0,33,4,0,0,22,4,0,0,0,7482
1251,36,35,4,0,30,4,0,0,5,4,0,0,34,4,0,0,23,4,0,0,0,7482
1252,37,36,4,0,3,4,0,0,5,4,0,0,35,4,0,0,16,4,0,0,0,7482
1253,38,37,4,0,5,4,0,0,7,4,0,0,36,4,0,0,17,4,0,0,0,7482
1254,39,38,4,0,10,4,0,0,7,4,0,0,37,4,0,0,18,4,0,0,0,7482
1255,40,39,4,0,13,4,0,0,5,4,0,0,38,4,0,0,19,4,0,0,0,7482
1256,41,40,4,0,52,2,1,1,5,4,0,0,39,4,0,0,28,4,0,0,0,7482
1257,42,41,4,0,49,4,0,1,6,4,0,0,40,4,0,0,29,4,0,0,0,7482
1258,43,42,4,0,60,2,1,1,9,4,0,0,41,4,0,0,30,4,0,0,0,7482
1259,44,43,4,0,59,2,1,0,8,4,0,0,42,4,0,0,31,4,0,0,0,7482
1260,45,44,4,0,38,4,0,1,8,4,0,0,43,4,0,0,24,4,0,0,0,7482
1261,46,45,4,0,34,4,0,0,6,4,0,0,44,4,0,0,25,4,0,0,0,7482
