cycle,e_sweep,e_obs,attr_std,trans_std,e_alt,attr_r1,r1_disagree,trans_r1,pop_xor,attr_r2,r2_disagree,trans_r2,e_lag,attr_r3,r3_disagree,trans_r3,e_r4,attr_r4,r4_disagree,trans_r4,rot_k,epoch_mask
3203,4,4,4,0,18,4,0,0,4,4,0,0,3,4,0,0,42,4,0,1,2,3741
3204,5,4,4,0,17,4,0,0,7,4,0,0,4,4,0,0,41,4,0,0,2,3741
3205,6,5,4,0,21,4,0,0,6,4,0,0,4,4,0,0,45,4,0,0,2,3741
3206,7,6,4,0,25,4,0,0,9,4,0,0,5,4,0,0,32,4,0,0,2,3741
3207,8,7,4,0,28,4,0,0,5,4,0,0,6,4,0,0,37,4,0,0,2,3741
3208,9,8,4,0,38,4,0,0,6,4,0,0,7,4,0,0,24,4,0,0,2,3741
3209,10,9,4,0,33,4,0,0,7,4,0,0,8,4,0,0,31,4,0,0,2,3741
3210,11,10,4,0,47,4,0,0,8,4,0,0,9,4,0,0,16,4,0,0,2,3741
3211,12,11,4,0,42,4,0,0,4,4,0,0,10,4,0,0,21,4,0,0,2,3741
3212,13,12,4,0,52,2,1,1,5,4,0,0,11,4,0,0,8,4,0,0,2,3741
3213,14,13,4,0,51,2,1,0,5,4,0,0,12,4,0,0,15,4,0,0,2,3741
3214,15,14,4,0,62,2,1,0,8,4,0,0,13,4,0,0,3,4,0,0,2,3741
3215,16,15,4,0,56,2,1,0,5,4,0,0,14,4,0,0,16,4,0,0,5,6772
3216,17,16,4,0,9,4,0,1,2,4,0,0,15,4,0,0,39,4,0,0,5,6772
3217,18,17,4,0,15,4,0,0,8,4,0,0,16,4,0,0,16,4,0,0,5,6772
3218,19,18,4,0,0,1,1,1,6,4,0,0,17,4,0,0,39,4,0,0,5,6772
3219,20,19,4,0,6,4,0,1,10,4,0,0,18,4,0,0,17,4,0,0,5,6772
3220,21,20,4,0,27,4,0,0,8,4,0,0,19,4,0,0,37,4,0,0,5,6772
3221,22,21,4,0,28,4,0,0,8,4,0,0,20,4,0,0,29,4,0,0,5,6772
3222,23,22,4,0,19,4,0,0,8,4,0,0,21,4,0,0,45,4,0,0,5,6772
3223,24,23,4,0,23,4,0,0,7,4,0,0,22,4,0,0,12,4,0,0,5,6772
3224,25,24,4,0,44,4,0,0,6,4,0,0,23,4,0,0,46,4,0,0,5,6772
3225,26,25,4,0,41,4,0,0,3,4,0,0,24,4,0,0,2,4,0,0,5,6772
3226,27,26,4,0,39,4,0,0,9,4,0,0,25,4,0,0,59,2,1,1,5,6772
3227,28,28,4,0,62,2,1,1,8,4,0,0,26,4,0,0,41,4,0,1,5,6772
3228,29,28,4,0,61,2,1,0,5,4,0,0,28,4,0,0,53,2,1,1,5,6772
3229,30,29,4,0,56,2,1,0,8,4,0,0,28,4,0,0,29,4,0,1,5,6772
