cycle,regime,local_cycle,active_mode,mask_val,computed,computed_mod,e_field_base,e_field_mod,attractor_base,attractor_mod,attractor_changed,delta_computed,delta_mod,transition_base,mode_lfsr_state
5117,4,617,2,4032,2069,2005,32,31,4,4,0,1021,1027,0,27091
5118,4,618,3,4095,26,4069,0,63,1,3,1,2043,2043,1,21415
5119,4,619,0,0,37,37,0,0,1,1,0,11,11,0,10062
5120,4,620,1,63,58,5,0,0,1,1,0,21,21,0,20125
5121,4,621,2,4032,101,4005,1,62,4,2,1,43,85,1,7482
5122,4,622,3,4095,187,3908,2,61,4,2,1,86,86,0,14964
5123,4,623,0,0,358,358,5,5,4,4,0,171,171,0,29929
5124,4,624,1,63,700,643,10,10,4,4,0,342,298,0,27091
5125,4,625,2,4032,1384,2728,21,42,4,4,0,684,724,0,21415
5126,4,626,3,4095,2752,1343,43,20,4,4,0,1368,1368,0,10062
5127,4,627,0,0,1394,1394,21,21,4,4,0,1358,1358,0,20125
5128,4,628,1,63,2772,2795,43,43,4,4,0,1378,1438,0,7482
5129,4,629,2,4032,1433,2649,22,41,4,4,0,1339,1349,0,14964
5130,4,630,3,4095,2850,1245,44,19,4,4,0,1417,1417,0,29929
5131,4,631,0,0,1588,1588,24,24,4,4,0,1262,1262,0,27091
5132,4,632,1,63,3160,3175,49,49,4,4,0,1572,1628,0,21415
5133,4,633,2,4032,2209,1889,34,29,4,4,0,951,969,0,10062
5134,4,634,3,4095,307,3788,4,59,4,2,1,1902,1902,0,20125
5135,4,635,0,0,599,599,9,9,4,4,0,292,292,0,7482
5136,4,636,1,63,1183,1184,18,18,4,4,0,584,568,0,14964
5137,4,637,2,4032,2350,1774,36,27,4,4,0,1167,1137,0,29929
5138,4,638,3,4095,582,3513,9,54,4,2,1,1768,1768,0,27091
5139,4,639,0,0,1157,1157,18,18,4,4,0,575,575,0,21415
5140,4,640,1,63,2307,2364,36,36,4,4,0,1150,1154,0,10062
5141,4,641,2,4032,508,3644,7,56,4,2,1,1799,1913,0,20125
5142,4,642,3,4095,1000,3095,15,48,4,4,0,492,492,0,7482
5143,4,643,0,0,1984,1984,31,31,4,4,0,984,984,0,14964
5144,4,644,1,63,3955,3916,61,61,2,2,0,1971,1869,1,29929
5145,4,645,2,4032,3798,278,59,4,2,4,1,157,99,0,27091
5146,4,646,3,4095,3484,611,54,9,2,4,1,314,314,0,21415
5147,4,647,0,0,2857,2857,44,44,4,4,0,627,627,1,10062
5148,4,648,1,63,1601,1662,25,25,4,4,0,1256,1176,0,20125
5149,4,649,2,4032,3188,948,49,14,4,4,0,1587,1485,0,7482
5150,4,650,3,4095,2265,1830,35,28,4,4,0,923,923,0,14964
5151,4,651,0,0,418,418,6,6,4,4,0,1847,1847,0,29929
5152,4,652,1,63,821,778,12,12,4,4,0,403,365,0,27091
5153,4,653,2,4032,1627,2459,25,38,4,4,0,806,858,0,21415
5154,4,654,3,4095,3238,857,50,13,2,4,1,1611,1611,1,10062
5155,4,655,0,0,2364,2364,36,36,4,4,0,874,874,1,20125
5156,4,656,1,63,617,598,9,9,4,4,0,1747,1709,0,7482
5157,4,657,2,4032,1217,2817,19,44,4,4,0,600,680,0,14964
5158,4,658,3,4095,2420,1675,37,26,4,4,0,1203,1203,0,29929
